title,description,location,features,date,price
"LONABLE COLOUM STRUCTURE 25×45,BORKHERA",Size 25×45=1125sqft Ready to move Gated colony with cc road and garden  1.5 km from borkhera flyover and 4km from railway station Backside garden of house Uit approved patta and registry 90%lonable,"India, Rajasthan, Kota, Borkhera",2 Bds - 2 Ba - 1125 ft2,2021-06-04T03:24:34+0000,"₹ 48,00,000"
VattiyoorkavuPuliyarakonam My Villas,4cent1000sq3bhk,"India, Kerala, Thiruvananthapuram, Vattiyoorkavu",3 Bds - 3 Ba - 1100 ft2,2021-06-08T03:12:26+0000,"₹ 34,00,000"
4bhk + Thirumala Thachottukavu My Villas,4cent1700sq4bhk,"India, Kerala, Thiruvananthapuram, Thirumala",4 Bds - 4 Ba - 1700 ft2,2021-06-08T03:12:02+0000,"₹ 44,00,000"
Near Kerala Varma College/elegant new constructing villa/4 cents,"For more details contact 9500 .. 869319  RERA not applicable  ""Lap up the conveniences of life as happiness is homemade""  This independent villa costs lesser than than the cost of a flat  LOCATION ADVANTAGES:   *3 km from Kozhikode highway.   *Nationalized banks and ATM’s nearby   *24 hours KSRTC bus service   *12 hours private bus service  AMENITIES:   #Front yard paver block/ landscaping   #CCTV   #Security cabin    #Street lights    The luxurious villa with all facilities to enjoy your life with security and privacy  9500 .. 869319 -> Feel free to contact  to know more details, visiting and booking your DREAM HOME","India, Kerala, Thrissur, Kuriachira",3 Bds - 3 Ba - 1500 ft2,2021-05-11T12:35:24+0000,"₹ 42,50,000"
"Prestige Neptune Courtyard in marin drive, 4 bedroom flat floor sale","Prestige Neptune Courtyard in marin drive,  4 bedroom and 4 bathroom, 2895 sq ft ,  9/16th floor , Asking the price is 2.20 cr. Brokers please excuse","India, Kerala, Kochi, Marine Drive",4 Bds - 4 Ba - 2895 ft2,2021-05-28T07:07:52+0000,"₹ 2,20,00,000"
2bhk new semifurnished flat available in dwarka mor,2bhk ready to move flat Front side wide balcony  2 washroom  lift with carparking  80% homeloan   2.67lac subcidy,"India, Delhi, Delhi, Dwarka Mor",2 Bds - 2 Ba - 570 ft2,2021-06-02T13:08:54+0000,"₹ 24,00,000"
Looking. For tenament or row House type property,Near Chandkheda,"India, Gujarat, Ahmedabad, ONGC Colony",,2021-06-08T03:11:53+0000,"₹ 40,00,000"
"Lonable Duplex 1750sqft,Borkhera","Ready to move Uit approved patta and registerey Lonable upto 90% Size 25×50=1250,one room and letbath on first floor Furnished with wardrobes and modular kitchen","India, Rajasthan, Kota, Borkhera",3 Bds - 3 Ba - 1750 ft2,2021-06-08T03:01:08+0000,"₹ 55,00,000"
Dream House,Welcome happy Home,"India, Jammu & Kashmir, Srinagar, Brain",4+ Bds - 2 Ba - 3000 ft2,2021-06-08T03:00:54+0000,"₹ 95,00,000"
SIDHI VINAYAK  RESIDANCE  BAMUNARA  NEAR MUCHIPARA,"SIDHI VINAYAK  RESIDANCE  DUPLEX  BUNGLOW  PROJECT  16 FEET ROAD ELECTRIC  CONECTIUON WATER CONECTION                                 SCHOOL   DELHI PUBLIC SCHOOL 3.5 K.M DURGAPUR PUBLIC 3 K.M. AMMA SCHOOL 3K.M	 STJAVIERS  3.7 BAZAR K.M                     MARKET  BAMUNARA MAIN MARKET  5 00 MITERS  MUCHIPARA  MARKET  2K.M. BIDDHENNAGAR MARKET 4K.M.                           BANK  SBI  ATM  200 MITER ALL BANK  1 K.M . 	  MUCHIPARA  1.5 K.M BAMUNARA  ROAD                  HOSPITAL  MISSION HOSPITAL  3K.M. BIDDHEN NAGAR HOSPITAL 4 K.M GOURI DEVI HOSPITAL 5 K.M. BAMUNARA MAIN MARKET  5 00 MITERS  MUCHIPARA  MARKET  2K.M. BIDDHENNAGAR MARKET 4K.M.                          BANK SBI  ATM  200 MITER ALL BANK  1 K.M . 	  MUCHIPARA  1.5 K.M BAMUNARA  ROAD                  HOSPITAL  Bank loan approved from HDFC home loans. State bank of indian, united bank of india. Bank of baroda, indiabulls and idbi bank.","India, West Bengal, Durgapur, Muchipara",2 Bds - 2 Ba - 1000 ft2,2021-06-08T03:00:53+0000,"₹ 27,00,000"
